Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Algeria;DZA;Population, total;SP.POP.TOTL;10799997;11006643;11209845;11420845;11654905;11923002;12229853;12572629;12945462;13338918;13746185;14165889;14600659;15052371;15524137;16018195;16533323;17068212;17624756;18205468;18811199;19442423;20095648;20762767;21433070;22098298;22753511;23398470;24035237;24668100;25299182;25930560;26557969;27169903;27751086;28291591;28786855;29242917;29673694;30099010;30533827;30982214;31441848;31913462;32396048;32888449;33391954;33906605;34428028;34950168;35468208
American Samoa;ASM;Population, total;SP.POP.TOTL;20041;20500;21124;21870;22672;23480;24283;25087;25869;26608;27288;27907;28470;28983;29453;29897;30305;30696;31139;31727;32526;33557;34797;36203;37706;39253;40834;42446;44048;45595;47052;48402;49648;50801;51885;52919;53901;54834;55745;56667;57625;58633;59687;60774;61871;62962;64045;65130;66217;67312;68420
Andorra;AND;Population, total;SP.POP.TOTL;13377;14337;15337;16373;17438;18529;19640;20772;21931;23127;24364;25656;26997;28357;29688;30967;32156;33279;34432;35753;37328;39226;41390;43636;45702;47414;48653;49504;50236;51241;52773;54996;57767;60670;63111;64699;65227;64905;64246;63985;64634;66390;69043;72203;75292;77888;79874;81390;82577;83677;84864
Angola;AGO;Population, total;SP.POP.TOTL;4963068;5053693;5147083;5242084;5337063;5431135;5524090;5617242;5713156;5815282;5926333;6047736;6179685;6322194;6474796;6637419;6808850;6989988;7185188;7400231;7638420;7903368;8191774;8491682;8786652;9065562;9322550;9562796;9799680;10052567;10335052;10653515;11002910;11371750;11742960;12105105;12452725;12792237;13138265;13511575;13926373;14388244;14890474;15419943;15957460;16489021;17010366;17525367;18037964;18555115;19081912
Antigua and Barbuda;ATG;Population, total;SP.POP.TOTL;54657;55408;56362;57472;58653;59844;61032;62226;63401;64528;65587;66554;67419;68182;68848;69420;69910;70301;70533;70525;70228;69639;68803;67792;66701;65614;64539;63510;62669;62192;62202;62754;63802;65238;66895;68642;70450;72322;74190;75985;77656;79165;80507;81716;82838;83916;84952;85935;86881;87802;88710
Argentina;ARG;Population, total;SP.POP.TOTL;20625451;20961000;21297317;21633126;21966478;22296628;22622012;22944941;23273148;23616971;23983358;24376109;24791983;25222223;25654154;26078731;26492716;26899177;27303001;27711808;28131040;28561561;29001060;29447973;29899743;30354240;30810984;31269799;31729130;32187173;32642442;33093579;33540023;33982035;34420352;34855160;35287113;35714929;36134642;36541029;36930709;37302116;37657340;38001251;38340778;38681174;39023850;39368066;39714298;40062470;40412376
Armenia;ARM;Population, total;SP.POP.TOTL;1867396;1934239;2002170;2070427;2138133;2204650;2269475;2332624;2394635;2456370;2518408;2580894;2643464;2705584;2766495;2825650;2882831;2938181;2991954;3044564;3096298;3145885;3192877;3239212;3287588;3339147;3396511;3457054;3510439;3542720;3544695;3512051;3449940;3370373;3290540;3223173;3172185;3134836;3109101;3090624;3076098;3065810;3061067;3060554;3062612;3065954;3069844;3074181;3079087;3084979;3092072
Aruba;ABW;Population, total;SP.POP.TOTL;54209;55436;56227;56698;57031;57362;57714;58052;58388;58725;59066;59439;59849;60238;60524;60654;60589;60366;60108;59980;60099;60570;61347;62208;62833;63030;62645;61830;61069;61026;62147;64642;68286;72573;76762;80323;83069;85161;86827;88442;90271;92363;94596;96875;99046;100996;102711;104225;105526;106612;107488
Australia;AUS;Population, total;SP.POP.TOTL;10276477;10483000;10742000;10950000;11167000;11388000;11651000;11799000;12009000;12263000;12507000;12937000;13177000;13380000;13723000;13893000;14033000;14192000;14358000;14514000;14692000;14927000;15178000;15369000;15544000;15758000;16018400;16263900;16532200;16814400;17065100;17284000;17495000;17667000;17855000;18072000;18311000;18517000;18711000;18926000;19153000;19413000;19651400;19895400;20127400;20394800;20697900;21072500;21498500;21951700;22328800
Austria;AUT;Population, total;SP.POP.TOTL;7048001;7087000;7130000;7172000;7215000;7255000;7308000;7338000;7362000;7384000;7426000;7460000;7510000;7553000;7564000;7556000;7552000;7559000;7553000;7550000;7553000;7565000;7574000;7552000;7552000;7555000;7565000;7573000;7595000;7631400;7710882;7798899;7782519;7928746;7928746;7953067;7964966;7971116;7982461;8002186;8011560.509;8043015.638;8083639.298;8117800;8174700;8233300;8282424;8300788;8336926;8365275;8384745
